Date,Price,,,,,
02/04/2001,"9,777.93",,,,,
03/04/2001,"9,485.71",,,,,
04/04/2001,"9,515.42",,,,,
05/04/2001,"9,918.05",,,,,
06/04/2001,"9,791.09",,,,,
09/04/2001,"9,845.15",,,,,
10/04/2001,"10,102.74",,,,,
11/04/2001,"10,013.47",,,,,
12/04/2001,"10,126.94",,,,,
16/04/2001,"10,158.56",,,,,
17/04/2001,"10,216.73",,,,,
18/04/2001,"10,615.83",,,,,
19/04/2001,"10,693.71",,,,,
20/04/2001,"10,579.85",,,,,
23/04/2001,"10,532.23",,,,,
24/04/2001,"10,454.34",,,,,
25/04/2001,"10,625.20",,,,,
26/04/2001,"10,692.35",,,,,
27/04/2001,"10,810.05",,,,,
30/04/2001,"10,734.97",,,,,
01/05/2001,"10,898.34",,,,,
02/05/2001,"10,876.68",,,,,
03/05/2001,"10,796.65",,,,,
04/05/2001,"10,951.24",,,,,
07/05/2001,"10,935.17",,,,,
08/05/2001,"10,883.51",,,,,
09/05/2001,"10,866.98",,,,,
10/05/2001,"10,910.44",,,,,
11/05/2001,"10,821.31",,,,,
14/05/2001,"10,877.33",,,,,
15/05/2001,"10,872.97",,,,,
16/05/2001,"11,215.92",,,,,
17/05/2001,"11,248.58",,,,,
18/05/2001,"11,301.74",,,,,
21/05/2001,"11,337.92",,,,,
22/05/2001,"11,257.24",,,,,
23/05/2001,"11,105.51",,,,,
24/05/2001,"11,122.42",,,,,
25/05/2001,"11,005.37",,,,,
29/05/2001,"11,039.14",,,,,
30/05/2001,"10,872.64",,,,,
31/05/2001,"10,911.94",,,,,
01/06/2001,"10,990.41",,,,,
04/06/2001,"11,061.52",,,,,
05/06/2001,"11,175.84",,,,,
06/06/2001,"11,070.24",,,,,
07/06/2001,"11,090.74",,,,,
08/06/2001,"10,977.00",,,,,
11/06/2001,"10,922.09",,,,,
12/06/2001,"10,948.38",,,,,
13/06/2001,"10,871.62",,,,,
14/06/2001,"10,690.13",,,,,
15/06/2001,"10,623.64",,,,,
18/06/2001,"10,645.38",,,,,
19/06/2001,"10,596.67",,,,,
20/06/2001,"10,647.33",,,,,
21/06/2001,"10,715.43",,,,,
22/06/2001,"10,604.59",,,,,
25/06/2001,"10,504.22",,,,,
26/06/2001,"10,472.48",,,,,
27/06/2001,"10,434.84",,,,,
28/06/2001,"10,566.21",,,,,
29/06/2001,"10,502.40",,,,,
02/07/2001,"10,593.72",,,,,
03/07/2001,"10,571.11",,,,,
05/07/2001,"10,479.86",,,,,
06/07/2001,"10,252.68",,,,,
09/07/2001,"10,299.40",,,,,
10/07/2001,"10,175.64",,,,,
11/07/2001,"10,241.02",,,,,
12/07/2001,"10,478.99",,,,,
13/07/2001,"10,539.06",,,,,
16/07/2001,"10,472.12",,,,,
17/07/2001,"10,606.39",,,,,
18/07/2001,"10,569.83",,,,,
19/07/2001,"10,610.00",,,,,
20/07/2001,"10,576.65",,,,,
23/07/2001,"10,424.42",,,,,
24/07/2001,"10,241.12",,,,,
25/07/2001,"10,405.67",,,,,
26/07/2001,"10,455.63",,,,,
27/07/2001,"10,416.67",,,,,
30/07/2001,"10,401.72",,,,,
31/07/2001,"10,522.81",,,,,
01/08/2001,"10,510.01",,,,,
02/08/2001,"10,551.18",,,,,
03/08/2001,"10,512.78",,,,,
06/08/2001,"10,401.31",,,,,
07/08/2001,"10,458.74",,,,,
08/08/2001,"10,293.50",,,,,
09/08/2001,"10,298.56",,,,,
10/08/2001,"10,416.25",,,,,
13/08/2001,"10,415.91",,,,,
14/08/2001,"10,412.17",,,,,
15/08/2001,"10,345.95",,,,,
16/08/2001,"10,392.52",,,,,
17/08/2001,"10,240.78",,,,,
20/08/2001,"10,320.07",,,,,
21/08/2001,"10,174.14",,,,,
22/08/2001,"10,276.90",,,,,
23/08/2001,"10,229.15",,,,,
24/08/2001,"10,423.17",,,,,
27/08/2001,"10,382.35",,,,,
28/08/2001,"10,222.03",,,,,
29/08/2001,"10,090.90",,,,,
30/08/2001,"9,919.58",,,,,
31/08/2001,"9,949.75",,,,,
04/09/2001,"9,997.49",,,,,
05/09/2001,"10,033.27",,,,,
06/09/2001,"9,840.84",,,,,
07/09/2001,"9,605.85",,,,,
10/09/2001,"9,605.51",,,,,
17/09/2001,"8,920.70",,,,,
18/09/2001,"8,903.40",,,,,
19/09/2001,"8,759.13",,,,,
20/09/2001,"8,376.21",,,,,
21/09/2001,"8,235.81",,,,,
24/09/2001,"8,603.86",,,,,
25/09/2001,"8,659.97",,,,,
26/09/2001,"8,567.39",,,,,
27/09/2001,"8,681.42",,,,,
28/09/2001,"8,847.56",,,,,
01/10/2001,"8,836.83",,,,,
02/10/2001,"8,950.59",,,,,
03/10/2001,"9,123.78",,,,,
04/10/2001,"9,060.88",,,,,
05/10/2001,"9,119.77",,,,,
08/10/2001,"9,067.94",,,,,
09/10/2001,"9,052.44",,,,,
10/10/2001,"9,240.86",,,,,
11/10/2001,"9,410.45",,,,,
12/10/2001,"9,344.16",,,,,
15/10/2001,"9,347.62",,,,,
16/10/2001,"9,384.23",,,,,
17/10/2001,"9,232.97",,,,,
18/10/2001,"9,163.22",,,,,
19/10/2001,"9,204.11",,,,,
22/10/2001,"9,377.03",,,,,
23/10/2001,"9,340.08",,,,,
24/10/2001,"9,345.62",,,,,
25/10/2001,"9,462.90",,,,,
26/10/2001,"9,545.17",,,,,
29/10/2001,"9,269.50",,,,,
30/10/2001,"9,121.98",,,,,
31/10/2001,"9,075.14",,,,,
01/11/2001,"9,263.90",,,,,
02/11/2001,"9,323.54",,,,,
05/11/2001,"9,441.03",,,,,
06/11/2001,"9,591.12",,,,,
07/11/2001,"9,554.37",,,,,
08/11/2001,"9,587.52",,,,,
09/11/2001,"9,608.00",,,,,
12/11/2001,"9,554.37",,,,,
13/11/2001,"9,750.95",,,,,
14/11/2001,"9,823.61",,,,,
15/11/2001,"9,872.39",,,,,
16/11/2001,"9,866.99",,,,,
19/11/2001,"9,976.46",,,,,
20/11/2001,"9,901.38",,,,,
21/11/2001,"9,834.68",,,,,
23/11/2001,"9,959.71",,,,,
26/11/2001,"9,982.75",,,,,
27/11/2001,"9,872.60",,,,,
28/11/2001,"9,711.86",,,,,
29/11/2001,"9,829.42",,,,,
30/11/2001,"9,851.56",,,,,
03/12/2001,"9,763.96",,,,,
04/12/2001,"9,893.84",,,,,
05/12/2001,"10,114.29",,,,,
06/12/2001,"10,099.14",,,,,
07/12/2001,"10,049.46",,,,,
10/12/2001,"9,921.45",,,,,
11/12/2001,"9,888.37",,,,,
12/12/2001,"9,894.81",,,,,
13/12/2001,"9,766.45",,,,,
14/12/2001,"9,811.15",,,,,
17/12/2001,"9,891.97",,,,,
18/12/2001,"9,998.39",,,,,
19/12/2001,"10,070.49",,,,,
20/12/2001,"9,985.18",,,,,
21/12/2001,"10,035.34",,,,,
24/12/2001,"10,035.34",,,,,
26/12/2001,"10,088.14",,,,,
27/12/2001,"10,131.31",,,,,
