caldt,ncindx
01/11/2000,3333.39
02/11/2000,3429.02
03/11/2000,3451.58
06/11/2000,3416.21
07/11/2000,3415.79
08/11/2000,3231.70
09/11/2000,3200.35
10/11/2000,3028.99
13/11/2000,2966.72
14/11/2000,3138.27
15/11/2000,3165.49
16/11/2000,3031.88
17/11/2000,3027.19
20/11/2000,2875.64
21/11/2000,2871.45
22/11/2000,2755.34
24/11/2000,2904.38
27/11/2000,2880.49
28/11/2000,2734.98
29/11/2000,2706.93
30/11/2000,2597.93
01/12/2000,2645.29
04/12/2000,2615.75
05/12/2000,2889.80
06/12/2000,2796.50
07/12/2000,2752.66
08/12/2000,2917.43
11/12/2000,3015.10
12/12/2000,2931.77
13/12/2000,2822.77
14/12/2000,2728.51
15/12/2000,2653.27
18/12/2000,2624.52
19/12/2000,2511.71
20/12/2000,2332.78
21/12/2000,2340.12
22/12/2000,2517.02
26/12/2000,2493.52
27/12/2000,2539.35
28/12/2000,2557.76
29/12/2000,2470.52
02/01/2001,2291.86
03/01/2001,2616.69
04/01/2001,2566.83
05/01/2001,2407.65
08/01/2001,2395.92
09/01/2001,2441.30
10/01/2001,2524.18
11/01/2001,2640.57
12/01/2001,2626.50
16/01/2001,2618.55
17/01/2001,2682.78
18/01/2001,2768.49
19/01/2001,2770.38
22/01/2001,2757.91
23/01/2001,2840.39
24/01/2001,2859.15
25/01/2001,2754.28
26/01/2001,2781.30
29/01/2001,2838.34
30/01/2001,2838.35
31/01/2001,2772.73
01/02/2001,2782.79
02/02/2001,2660.50
05/02/2001,2643.21
06/02/2001,2664.49
07/02/2001,2607.82
08/02/2001,2562.06
09/02/2001,2470.97
12/02/2001,2489.66
13/02/2001,2427.72
14/02/2001,2491.40
15/02/2001,2552.91
16/02/2001,2425.38
20/02/2001,2318.35
21/02/2001,2268.94
22/02/2001,2244.96
23/02/2001,2262.51
26/02/2001,2308.50
27/02/2001,2207.82
28/02/2001,2151.83
01/03/2001,2183.37
02/03/2001,2117.63
05/03/2001,2142.92
06/03/2001,2204.43
07/03/2001,2223.92
08/03/2001,2168.73
09/03/2001,2052.78
12/03/2001,1923.38
13/03/2001,2014.78
14/03/2001,1972.09
15/03/2001,1940.71
16/03/2001,1890.91
19/03/2001,1951.18
20/03/2001,1857.44
21/03/2001,1830.23
22/03/2001,1897.70
23/03/2001,1928.68
26/03/2001,1918.49
27/03/2001,1972.26
28/03/2001,1854.13
29/03/2001,1820.57
30/03/2001,1840.26
02/04/2001,1782.97
03/04/2001,1673.00
04/04/2001,1638.80
05/04/2001,1785.00
06/04/2001,1720.36
09/04/2001,1745.71
10/04/2001,1852.03
11/04/2001,1898.95
12/04/2001,1961.43
16/04/2001,1909.57
17/04/2001,1923.22
18/04/2001,2079.44
19/04/2001,2182.14
20/04/2001,2163.41
23/04/2001,2059.32
24/04/2001,2016.61
25/04/2001,2059.80
26/04/2001,2034.88
27/04/2001,2075.68
30/04/2001,2116.24
01/05/2001,2168.24
02/05/2001,2220.60
03/05/2001,2146.20
04/05/2001,2191.53
07/05/2001,2173.57
08/05/2001,2198.77
09/05/2001,2156.63
10/05/2001,2128.86
11/05/2001,2107.43
14/05/2001,2081.92
15/05/2001,2085.58
16/05/2001,2166.44
17/05/2001,2193.68
18/05/2001,2198.88
21/05/2001,2305.59
22/05/2001,2313.85
23/05/2001,2243.48
24/05/2001,2282.02
25/05/2001,2251.03
29/05/2001,2175.54
30/05/2001,2084.50
31/05/2001,2110.49
01/06/2001,2149.44
04/06/2001,2155.93
05/06/2001,2233.66
06/06/2001,2217.73
07/06/2001,2264.00
08/06/2001,2215.10
11/06/2001,2170.78
12/06/2001,2169.95
13/06/2001,2121.66
14/06/2001,2044.07
15/06/2001,2028.43
18/06/2001,1988.63
19/06/2001,1992.66
20/06/2001,2031.24
21/06/2001,2058.76
22/06/2001,2034.84
25/06/2001,2050.87
26/06/2001,2064.62
27/06/2001,2074.74
28/06/2001,2125.46
29/06/2001,2160.54
02/07/2001,2148.72
03/07/2001,2140.80
05/07/2001,2080.11
06/07/2001,2004.16
09/07/2001,2026.71
10/07/2001,1962.79
11/07/2001,1972.04
12/07/2001,2075.74
13/07/2001,2084.79
16/07/2001,2029.12
17/07/2001,2067.32
18/07/2001,2016.17
19/07/2001,2046.59
20/07/2001,2029.37
23/07/2001,1988.56
24/07/2001,1959.24
25/07/2001,1984.32
26/07/2001,2022.96
27/07/2001,2029.07
30/07/2001,2017.84
31/07/2001,2027.13
01/08/2001,2068.38
02/08/2001,2087.38
03/08/2001,2066.33
06/08/2001,2034.26
07/08/2001,2027.79
08/08/2001,1966.36
09/08/2001,1963.32
10/08/2001,1956.47
13/08/2001,1982.25
14/08/2001,1964.53
15/08/2001,1918.89
16/08/2001,1930.32
17/08/2001,1867.01
20/08/2001,1881.35
21/08/2001,1831.30
22/08/2001,1860.01
23/08/2001,1842.97
24/08/2001,1916.80
27/08/2001,1912.41
28/08/2001,1864.98
29/08/2001,1843.17
30/08/2001,1791.68
31/08/2001,1805.43
04/09/2001,1770.78
05/09/2001,1759.01
06/09/2001,1705.64
07/09/2001,1687.70
10/09/2001,1695.38
17/09/2001,1579.55
18/09/2001,1555.08
19/09/2001,1527.80
20/09/2001,1470.93
21/09/2001,1423.19
24/09/2001,1499.40
25/09/2001,1501.64
26/09/2001,1464.04
27/09/2001,1460.71
28/09/2001,1498.80
01/10/2001,1480.46
02/10/2001,1492.33
03/10/2001,1580.81
04/10/2001,1597.31
05/10/2001,1605.30
08/10/2001,1605.95
09/10/2001,1570.19
10/10/2001,1626.26
11/10/2001,1701.47
12/10/2001,1703.40
15/10/2001,1696.31
16/10/2001,1722.07
17/10/2001,1646.34
18/10/2001,1652.72
19/10/2001,1671.31
22/10/2001,1708.08
23/10/2001,1704.44
24/10/2001,1731.54
25/10/2001,1775.47
26/10/2001,1768.96
29/10/2001,1699.52
30/10/2001,1667.41
31/10/2001,1690.20
01/11/2001,1746.30
02/11/2001,1745.73
05/11/2001,1793.65
06/11/2001,1835.08
07/11/2001,1837.53
08/11/2001,1827.77
09/11/2001,1828.48
12/11/2001,1840.13
13/11/2001,1892.11
14/11/2001,1903.19
15/11/2001,1900.57
16/11/2001,1898.58
19/11/2001,1934.42
20/11/2001,1880.51
21/11/2001,1875.05
23/11/2001,1903.20
26/11/2001,1941.23
27/11/2001,1935.97
28/11/2001,1887.97
29/11/2001,1933.26
30/11/2001,1930.58
03/12/2001,1904.90
04/12/2001,1963.10
05/12/2001,2046.84
06/12/2001,2054.27
07/12/2001,2021.26
10/12/2001,1992.12
11/12/2001,2001.93
12/12/2001,2011.38
13/12/2001,1946.51
14/12/2001,1953.17
17/12/2001,1987.45
18/12/2001,2004.76
19/12/2001,1982.89
20/12/2001,1918.54
21/12/2001,1945.83
24/12/2001,1944.48
26/12/2001,1960.70
27/12/2001,1976.42
28/12/2001,1987.26
31/12/2001,1950.40
02/01/2002,1979.25
03/01/2002,2044.27
04/01/2002,2059.38
07/01/2002,2037.10
08/01/2002,2055.74
09/01/2002,2044.89
10/01/2002,2047.24
11/01/2002,2022.46
14/01/2002,1990.74
15/01/2002,2000.91
16/01/2002,1944.44
17/01/2002,1985.82
18/01/2002,1930.34
22/01/2002,1882.53
23/01/2002,1922.38
24/01/2002,1942.58
25/01/2002,1937.70
28/01/2002,1943.91
29/01/2002,1892.99
30/01/2002,1913.44
31/01/2002,1934.03
01/02/2002,1911.24
04/02/2002,1855.53
05/02/2002,1838.52
06/02/2002,1812.71
07/02/2002,1782.11
08/02/2002,1818.88
11/02/2002,1846.66
12/02/2002,1834.21
13/02/2002,1859.16
14/02/2002,1843.37
15/02/2002,1805.20
19/02/2002,1750.61
20/02/2002,1775.57
21/02/2002,1716.24
22/02/2002,1724.54
25/02/2002,1769.88
26/02/2002,1766.86
27/02/2002,1751.88
28/02/2002,1731.49
01/03/2002,1802.74
04/03/2002,1859.32
05/03/2002,1866.29
06/03/2002,1890.40
07/03/2002,1881.63
08/03/2002,1929.67
11/03/2002,1929.49
12/03/2002,1897.12
13/03/2002,1862.03
14/03/2002,1854.14
15/03/2002,1868.30
18/03/2002,1877.06
19/03/2002,1880.87
20/03/2002,1832.87
21/03/2002,1868.83
22/03/2002,1851.39
25/03/2002,1812.49
26/03/2002,1824.17
27/03/2002,1826.75
28/03/2002,1845.35
01/04/2002,1862.62
02/04/2002,1804.40
03/04/2002,1784.35
04/04/2002,1789.75
05/04/2002,1770.03
08/04/2002,1785.87
09/04/2002,1742.57
10/04/2002,1767.07
11/04/2002,1725.24
12/04/2002,1756.19
15/04/2002,1753.78
16/04/2002,1816.79
17/04/2002,1810.67
18/04/2002,1802.43
19/04/2002,1796.83
22/04/2002,1758.68
23/04/2002,1730.29
24/04/2002,1713.34
25/04/2002,1713.70
26/04/2002,1663.89
29/04/2002,1656.93
30/04/2002,1688.23
01/05/2002,1677.53
02/05/2002,1644.82
03/05/2002,1613.03
06/05/2002,1578.48
07/05/2002,1573.82
08/05/2002,1696.29
09/05/2002,1650.49
10/05/2002,1600.85
13/05/2002,1652.54
14/05/2002,1719.05
15/05/2002,1725.56
16/05/2002,1730.44
17/05/2002,1741.39
20/05/2002,1701.59
21/05/2002,1664.18
22/05/2002,1673.45
23/05/2002,1697.63
24/05/2002,1661.49
28/05/2002,1652.17
29/05/2002,1624.39
30/05/2002,1631.92
31/05/2002,1615.73
03/06/2002,1562.56
04/06/2002,1578.12
05/06/2002,1595.26
06/06/2002,1554.88
07/06/2002,1535.48
10/06/2002,1530.69
11/06/2002,1497.18
12/06/2002,1519.12
13/06/2002,1496.86
14/06/2002,1504.74
17/06/2002,1553.29
18/06/2002,1542.96
19/06/2002,1496.83
20/06/2002,1464.75
21/06/2002,1440.96
24/06/2002,1460.34
25/06/2002,1423.99
26/06/2002,1429.33
27/06/2002,1459.20
28/06/2002,1463.21
01/07/2002,1403.80
02/07/2002,1357.82
03/07/2002,1380.17
05/07/2002,1448.36
08/07/2002,1405.61
09/07/2002,1381.12
10/07/2002,1346.01
11/07/2002,1374.43
12/07/2002,1373.50
15/07/2002,1382.62
16/07/2002,1375.26
17/07/2002,1397.25
18/07/2002,1356.95
19/07/2002,1319.15
22/07/2002,1282.65
23/07/2002,1229.05
24/07/2002,1290.23
25/07/2002,1240.08
26/07/2002,1262.12
29/07/2002,1335.25
30/07/2002,1344.19
31/07/2002,1328.26
01/08/2002,1280.00
02/08/2002,1247.92
05/08/2002,1206.01
06/08/2002,1259.55
07/08/2002,1280.90
08/08/2002,1316.52
09/08/2002,1306.12
12/08/2002,1306.84
13/08/2002,1269.28
14/08/2002,1334.30
15/08/2002,1345.01
16/08/2002,1361.01
19/08/2002,1394.54
20/08/2002,1376.59
21/08/2002,1409.25
22/08/2002,1422.95
23/08/2002,1380.62
26/08/2002,1391.74
27/08/2002,1347.78
28/08/2002,1314.38
29/08/2002,1335.77
30/08/2002,1314.85
03/09/2002,1263.84
04/09/2002,1292.31
05/09/2002,1251.00
06/09/2002,1295.30
09/09/2002,1304.60
10/09/2002,1320.09
11/09/2002,1315.45
12/09/2002,1279.68
13/09/2002,1291.40
16/09/2002,1275.88
17/09/2002,1259.94
18/09/2002,1252.13
19/09/2002,1216.45
20/09/2002,1221.09
23/09/2002,1184.93
24/09/2002,1182.17
25/09/2002,1222.29
26/09/2002,1221.61
27/09/2002,1199.16
30/09/2002,1172.06
01/10/2002,1213.72
02/10/2002,1187.30
03/10/2002,1165.56
04/10/2002,1139.90
07/10/2002,1119.40
08/10/2002,1129.21
09/10/2002,1114.11
10/10/2002,1163.37
11/10/2002,1210.47
14/10/2002,1220.53
15/10/2002,1282.44
16/10/2002,1232.42
17/10/2002,1272.29
18/10/2002,1287.86
21/10/2002,1309.67
22/10/2002,1292.80
23/10/2002,1320.23
24/10/2002,1298.71
25/10/2002,1331.13
28/10/2002,1315.83
29/10/2002,1300.54
30/10/2002,1326.73
31/10/2002,1329.75
01/11/2002,1360.70
04/11/2002,1396.54
05/11/2002,1401.17
06/11/2002,1418.99
07/11/2002,1376.71
08/11/2002,1359.28
11/11/2002,1319.19
12/11/2002,1349.56
13/11/2002,1361.34
14/11/2002,1411.52
15/11/2002,1411.14
18/11/2002,1393.69
19/11/2002,1374.51
20/11/2002,1419.35
21/11/2002,1467.55
22/11/2002,1468.74
25/11/2002,1481.90
26/11/2002,1444.43
27/11/2002,1487.94
29/11/2002,1478.78
02/12/2002,1484.78
03/12/2002,1448.96
04/12/2002,1430.35
05/12/2002,1410.75
06/12/2002,1422.44
09/12/2002,1367.14
10/12/2002,1390.76
11/12/2002,1396.59
12/12/2002,1399.55
13/12/2002,1362.42
16/12/2002,1400.33
17/12/2002,1392.05
18/12/2002,1361.51
19/12/2002,1354.10
20/12/2002,1363.05
23/12/2002,1381.69
24/12/2002,1372.47
26/12/2002,1367.89
27/12/2002,1348.31
30/12/2002,1339.54
31/12/2002,1335.51
02/01/2003,1384.85
03/01/2003,1387.08
06/01/2003,1421.32
07/01/2003,1431.57
08/01/2003,1401.07
09/01/2003,1438.46
10/01/2003,1447.72
13/01/2003,1446.04
14/01/2003,1460.99
15/01/2003,1438.80
16/01/2003,1423.75
17/01/2003,1376.19
21/01/2003,1364.25
22/01/2003,1359.48
23/01/2003,1388.27
24/01/2003,1342.14
27/01/2003,1325.27
28/01/2003,1342.18
29/01/2003,1358.06
30/01/2003,1322.35
31/01/2003,1320.91
03/02/2003,1323.79
04/02/2003,1306.15
05/02/2003,1301.50
06/02/2003,1301.73
07/02/2003,1282.47
10/02/2003,1296.68
11/02/2003,1295.46
12/02/2003,1278.97
13/02/2003,1277.44
14/02/2003,1310.17
18/02/2003,1346.54
19/02/2003,1334.32
20/02/2003,1331.23
21/02/2003,1349.02
24/02/2003,1322.38
25/02/2003,1328.98
26/02/2003,1303.68
27/02/2003,1323.94
28/02/2003,1337.52
03/03/2003,1320.29
04/03/2003,1307.77
05/03/2003,1314.40
06/03/2003,1302.89
07/03/2003,1305.29
10/03/2003,1278.37
11/03/2003,1271.47
12/03/2003,1279.24
13/03/2003,1340.77
14/03/2003,1340.33
17/03/2003,1392.27
18/03/2003,1400.55
19/03/2003,1397.07
20/03/2003,1402.77
21/03/2003,1421.84
24/03/2003,1369.78
25/03/2003,1391.01
26/03/2003,1387.45
27/03/2003,1384.25
28/03/2003,1369.60
31/03/2003,1341.17
01/04/2003,1348.30
02/04/2003,1396.72
03/04/2003,1396.58
04/04/2003,1383.51
07/04/2003,1389.51
08/04/2003,1382.94
09/04/2003,1356.74
10/04/2003,1365.61
11/04/2003,1358.85
14/04/2003,1384.95
15/04/2003,1391.01
16/04/2003,1394.72
17/04/2003,1425.50
21/04/2003,1424.37
22/04/2003,1451.36
23/04/2003,1466.16
24/04/2003,1457.23
25/04/2003,1434.54
28/04/2003,1462.24
29/04/2003,1471.30
30/04/2003,1464.31
01/05/2003,1472.56
02/05/2003,1502.88
05/05/2003,1504.04
06/05/2003,1523.71
07/05/2003,1506.76
08/05/2003,1489.69
09/05/2003,1520.15
12/05/2003,1541.40
13/05/2003,1539.68
14/05/2003,1534.90
15/05/2003,1551.38
16/05/2003,1538.53
19/05/2003,1492.77
20/05/2003,1491.09
21/05/2003,1489.87
22/05/2003,1507.55
23/05/2003,1510.09
27/05/2003,1556.69
28/05/2003,1563.24
29/05/2003,1574.95
30/05/2003,1595.91
02/06/2003,1590.75
03/06/2003,1603.56
04/06/2003,1634.65
05/06/2003,1646.01
06/06/2003,1627.42
09/06/2003,1603.97
10/06/2003,1627.67
11/06/2003,1646.02
12/06/2003,1653.62
13/06/2003,1626.49
16/06/2003,1666.58
17/06/2003,1668.44
18/06/2003,1677.14
19/06/2003,1648.64
20/06/2003,1644.72
23/06/2003,1610.75
24/06/2003,1605.61
25/06/2003,1602.66
26/06/2003,1634.01
27/06/2003,1625.26
30/06/2003,1622.80
01/07/2003,1640.13
02/07/2003,1678.73
03/07/2003,1663.46
07/07/2003,1720.71
08/07/2003,1746.46
09/07/2003,1747.46
10/07/2003,1715.86
11/07/2003,1733.93
14/07/2003,1754.82
15/07/2003,1753.21
16/07/2003,1747.97
17/07/2003,1698.02
18/07/2003,1708.50
21/07/2003,1681.41
22/07/2003,1706.10
23/07/2003,1719.18
24/07/2003,1701.42
25/07/2003,1730.70
28/07/2003,1735.36
29/07/2003,1731.37
30/07/2003,1720.91
31/07/2003,1735.02
01/08/2003,1715.62
04/08/2003,1714.06
05/08/2003,1673.50
06/08/2003,1652.68
07/08/2003,1652.18
08/08/2003,1644.03
11/08/2003,1661.51
12/08/2003,1687.01
13/08/2003,1686.61
14/08/2003,1700.34
15/08/2003,1702.01
18/08/2003,1739.49
19/08/2003,1761.11
20/08/2003,1760.54
21/08/2003,1777.55
22/08/2003,1765.32
25/08/2003,1764.31
26/08/2003,1770.65
27/08/2003,1782.13
28/08/2003,1800.18
29/08/2003,1810.45
02/09/2003,1841.48
03/09/2003,1852.90
04/09/2003,1868.97
05/09/2003,1858.24
08/09/2003,1888.62
09/09/2003,1873.43
10/09/2003,1823.81
11/09/2003,1846.09
12/09/2003,1855.03
15/09/2003,1845.70
16/09/2003,1887.25
17/09/2003,1883.10
18/09/2003,1909.55
19/09/2003,1905.70
22/09/2003,1874.62
23/09/2003,1901.72
24/09/2003,1843.70
25/09/2003,1817.24
26/09/2003,1792.07
29/09/2003,1824.56
30/09/2003,1786.94
01/10/2003,1832.25
02/10/2003,1836.22
03/10/2003,1880.57
06/10/2003,1893.46
07/10/2003,1907.85
08/10/2003,1893.78
09/10/2003,1911.90
10/10/2003,1915.31
13/10/2003,1933.53
14/10/2003,1943.19
15/10/2003,1939.10
16/10/2003,1950.14
17/10/2003,1912.36
20/10/2003,1925.14
21/10/2003,1940.90
22/10/2003,1898.07
23/10/2003,1885.51
24/10/2003,1865.59
27/10/2003,1882.91
28/10/2003,1932.26
29/10/2003,1936.56
30/10/2003,1932.69
31/10/2003,1932.21
03/11/2003,1967.70
04/11/2003,1957.96
05/11/2003,1959.37
06/11/2003,1976.37
07/11/2003,1970.74
10/11/2003,1941.64
11/11/2003,1930.75
12/11/2003,1973.11
13/11/2003,1967.35
14/11/2003,1930.26
17/11/2003,1909.61
18/11/2003,1881.75
19/11/2003,1899.65
20/11/2003,1881.92
21/11/2003,1893.88
24/11/2003,1947.14
25/11/2003,1943.04
26/11/2003,1953.31
28/11/2003,1960.26
01/12/2003,1989.82
02/12/2003,1980.07
03/12/2003,1960.25
04/12/2003,1968.80
05/12/2003,1937.82
08/12/2003,1948.85
09/12/2003,1908.32
10/12/2003,1904.65
11/12/2003,1942.32
12/12/2003,1949.00
15/12/2003,1918.26
16/12/2003,1924.29
17/12/2003,1921.33
18/12/2003,1956.18
19/12/2003,1951.02
22/12/2003,1955.80
23/12/2003,1974.78
24/12/2003,1969.23
26/12/2003,1973.14
29/12/2003,2006.48
30/12/2003,2009.88
31/12/2003,2003.37
02/01/2004,2006.68
05/01/2004,2047.36
06/01/2004,2057.37
07/01/2004,2077.68
08/01/2004,2100.25
09/01/2004,2086.92
12/01/2004,2111.78
13/01/2004,2096.44
14/01/2004,2111.13
15/01/2004,2109.08
16/01/2004,2140.46
20/01/2004,2147.98
21/01/2004,2142.45
22/01/2004,2119.01
23/01/2004,2123.87
26/01/2004,2153.83
27/01/2004,2116.04
28/01/2004,2077.37
29/01/2004,2068.23
30/01/2004,2066.15
02/02/2004,2063.15
03/02/2004,2066.21
04/02/2004,2014.14
05/02/2004,2019.56
06/02/2004,2064.01
09/02/2004,2060.57
10/02/2004,2075.33
11/02/2004,2089.66
12/02/2004,2073.61
13/02/2004,2053.56
17/02/2004,2080.35
18/02/2004,2076.47
19/02/2004,2045.96
20/02/2004,2037.93
23/02/2004,2007.52
24/02/2004,2005.44
25/02/2004,2022.98
26/02/2004,2032.57
27/02/2004,2029.82
01/03/2004,2057.80
02/03/2004,2039.65
03/03/2004,2033.36
04/03/2004,2055.11
05/03/2004,2047.63
08/03/2004,2008.78
09/03/2004,1995.16
10/03/2004,1964.15
11/03/2004,1943.89
12/03/2004,1984.73
15/03/2004,1939.20
16/03/2004,1943.09
17/03/2004,1976.76
18/03/2004,1962.44
19/03/2004,1940.47
22/03/2004,1909.90
23/03/2004,1901.80
24/03/2004,1909.48
25/03/2004,1967.17
26/03/2004,1960.02
29/03/2004,1992.57
30/03/2004,2000.63
31/03/2004,1994.22
01/04/2004,2015.01
02/04/2004,2057.17
05/04/2004,2079.12
06/04/2004,2059.90
07/04/2004,2050.24
08/04/2004,2052.88
12/04/2004,2065.48
13/04/2004,2030.08
14/04/2004,2024.85
15/04/2004,2002.17
16/04/2004,1995.74
19/04/2004,2020.43
20/04/2004,1978.63
21/04/2004,1995.63
22/04/2004,2032.91
23/04/2004,2049.77
26/04/2004,2036.77
27/04/2004,2032.53
28/04/2004,1989.54
29/04/2004,1958.78
30/04/2004,1920.15
03/05/2004,1938.72
04/05/2004,1950.48
05/05/2004,1957.26
06/05/2004,1937.74
07/05/2004,1917.96
10/05/2004,1896.07
11/05/2004,1931.35
12/05/2004,1925.59
13/05/2004,1926.03
14/05/2004,1904.25
17/05/2004,1876.64
18/05/2004,1897.82
19/05/2004,1898.17
20/05/2004,1896.59
21/05/2004,1912.09
24/05/2004,1922.98
25/05/2004,1964.65
26/05/2004,1976.15
27/05/2004,1984.50
28/05/2004,1986.74
01/06/2004,1990.77
02/06/2004,1988.98
03/06/2004,1960.26
04/06/2004,1978.62
07/06/2004,2020.62
08/06/2004,2023.53
09/06/2004,1990.61
10/06/2004,1999.87
14/06/2004,1969.99
15/06/2004,1995.60
16/06/2004,1998.23
17/06/2004,1983.67
18/06/2004,1986.73
21/06/2004,1974.38
22/06/2004,1994.15
23/06/2004,2020.98
24/06/2004,2015.57
25/06/2004,2025.47
28/06/2004,2019.82
29/06/2004,2034.93
30/06/2004,2047.79
01/07/2004,2015.55
02/07/2004,2006.66
06/07/2004,1963.43
07/07/2004,1966.08
08/07/2004,1935.32
09/07/2004,1946.33
12/07/2004,1936.92
13/07/2004,1931.66
14/07/2004,1914.88
15/07/2004,1912.71
16/07/2004,1883.15
19/07/2004,1883.83
20/07/2004,1917.07
21/07/2004,1874.37
22/07/2004,1889.06
23/07/2004,1849.09
26/07/2004,1839.02
27/07/2004,1869.10
28/07/2004,1858.26
29/07/2004,1881.06
30/07/2004,1887.36
02/08/2004,1892.09
03/08/2004,1859.42
04/08/2004,1855.06
05/08/2004,1821.63
06/08/2004,1776.89
09/08/2004,1774.64
10/08/2004,1808.70
11/08/2004,1782.42
12/08/2004,1752.49
13/08/2004,1757.22
16/08/2004,1782.84
17/08/2004,1795.25
18/08/2004,1831.37
19/08/2004,1819.89
20/08/2004,1838.02
23/08/2004,1838.70
